"Name","Street","City","Phone","Email"
"Restaurant Maritime bvba","Suikerrui, 4","2000 Antwerpen / Anvers","+32 (3) 233.07.58","restaurant.maritime@pandora.be"
"Tang's bvba","Kasteelpleinstraat, 36","2000 Antwerpen / Anvers","+32 (3) 248.38.59",""
"VAN DYCK/ETIENNE [TARTE A LOUIS]","Amsterdamstraat, 41","2000 Antwerpen / Anvers","",""
"Tilly's [TILLY'S, PURE]","Prinsstraat, 6","2000 Antwerpen / Anvers","+32 (3) 225.37.01",""
"Geudens/Marleen ['T WINKELTJE]","Lange Klarenstraat, 27","2000 Antwerpen / Anvers","+32 (3) 232.12.90",""
"Monico [CAFE MONICO MEIR]","Meir, 4","2000 Antwerpen / Anvers","+32 (3) 234.03.59","monicomeir@pandora.be, monicomeir@telenet.be"
"Gucci [MATTERHORN]","Huidevettersstraat, 51","2000 Antwerpen / Anvers","+32 (3) 475.19.44",""
"Ouweleeuw [OUWE LEEUW]","Oudeleeuwenrui, 29","2000 Antwerpen / Anvers","+32 (3) 290.89.84",""
"Diagoonal [DIAGONAL TAPASBAR]","Amerikalei, 97","2000 Antwerpen / Anvers","",""
"Den Dobbelsteen","Pelgrimstraat, 30","2000 Antwerpen / Anvers","+32 (3) 233.06.94",""
"Diagonal [DIAGONAL TAPASBAR]","Amerikalei, 97","2000 Antwerpen / Anvers","+32 (3) 257.04.01",""
"Pleinzicht","Groenplaats, 8","2000 Antwerpen / Anvers","+32 (3) 475.15.51",""
"Bomonde","Jodenstraat, 32","2000 Antwerpen / Anvers","+32 (3) 226.61.41",""
"Strubeek [RESTAURANT ROODEN HOED]","Oude Koornmarkt, 25","2000 Antwerpen / Anvers","+32 (3) 293.55.22",""
"Adriaensen/Alfons [GRAND CAFE LEROY]","Kasteelpleinstraat, 45","2000 Antwerpen / Anvers","",""
"Dock's [DOCK'S CAFE]","Jordaenskaai, 7","2000 Antwerpen / Anvers","+32 (3) 226.63.30","info@docks.be"
"Mc Donald's Restaurants Belgium","Teniersplaats, 4","2000 Antwerpen / Anvers","+32 (3) 231.59.55",""
"Satya [RAGA]","Hendrik Conscienceplein, 11","2000 Antwerpen / Anvers","+32 (3) 485.66.56",""
"Mid Mac [MID-MAC]","Klapdorp, 3","2000 Antwerpen / Anvers","+32 (3) 231.16.45",""
"Vroom & Dreesmann Warenhuizen [LA PLACE BE]","Meir, 78","2000 Antwerpen / Anvers","+32 (3) 226.85.46",""
"New Dimitri's","Paardenmarkt, 121","2000 Antwerpen / Anvers","+32 (3) 234.04.82",""
"Lollapalooza bvba","Pelgrimstraat, 28","2000 Antwerpen / Anvers","+32 (3) 227.41.42",""
"Van De Merlen/Jurgen [RESTAURANT PAS DE DEUX]","Waalsekaai, 53","2000 Antwerpen / Anvers","+32 (3) 238.04.74",""
"Gregory'S/K.","Hoogstraat, 32","2000 Antwerpen / Anvers","+32 (3) 226.99.34",""
"TENP [L'AMITIE]","Vlaamsekaai, 43","2000 Antwerpen / Anvers","+32 (3) 257.50.05",""
"Comme Chez Fred","Kloosterstraat, 83","2000 Antwerpen / Anvers","+32 (3) 257.14.71",""
"De Pottekijker","Kaasrui, 5","2000 Antwerpen / Anvers","+32 (3) 225.21.97","depottekijker@skynet.be"
"Folies d'Anvers (Restaurant)","Reyndersstraat, 13","2000 Antwerpen / Anvers","+32 (3) 231.71.15","info@foliesdanvers.com"
"Filbru","Graanmarkt, 6","2000 Antwerpen / Anvers","+32 (3) 226.18.20",""
"Paardentrem [PAARDETREM]","Paardenmarkt, 113","2000 Antwerpen / Anvers","+32 (3) 226.18.86",""
"Pizza Fast/Ahmad [PIZZERIA]","Kasteelpleinstraat, 11","2000 Antwerpen / Anvers","+32 (3) 289.71.27",""
"Hansenne/Gwen","Sint-Paulusstraat, 21","2000 Antwerpen / Anvers","+32 (3) 230.39.20",""
"Espresso Shops","Leopoldstraat, 34","2000 Antwerpen / Anvers","+32 (3) 226.75.54",""
"El Pintxo","Riemstraat, 49","2000 Antwerpen / Anvers","+32 (3) 237.06.00","puertadelsol@telenet.be"
"Segers J. [DE KORAAL]","Leeuwenstraat, 1","2000 Antwerpen / Anvers","+32 (3) 226.26.70",""
"Peeters/Yves [GALLO NERO]","Grote Pieter Potstraat, 34","2000 Antwerpen / Anvers","",""
"Decruyenaere/Marc [RENZO]","Kammenstraat, 30","2000 Antwerpen / Anvers","+32 (3) 225.06.10",""
"Weens Huis cv [LEONARDO WIENER KAFFEE]","Hoogstraat, 28","2000 Antwerpen / Anvers","+32 (3) 231.27.13",""
"Pizza E Pasta [PIZZA & PASTA]","Kaasrui, 9","2000 Antwerpen / Anvers","+32 (3) 226.59.35",""
"Pitten & Bonen","Lombardenvest, 31","2000 Antwerpen / Anvers","+32 (3) 213.28.88",""
"Mitrovic/Zorica [TEAROOM VAN HECKE]","Nationalestraat, 88","2000 Antwerpen / Anvers","+32 (3) 233.19.72",""
"Peninsula","Korte Koepoortstraat, 8","2000 Antwerpen / Anvers","+32 (3) 231.04.73",""
"Woolmore/Frank","Amerikalei, 56","2000 Antwerpen / Anvers","+32 (3) 238.43.87",""
"Restaurant Maritime","Suikerrui, 4","2000 Antwerpen / Anvers","",""
"Hayashi","Tabakvest, 85","2000 Antwerpen / Anvers","+32 (3) 234.98.33",""
"Brooderie 't Pain Perduke bvba","Sint-Pietersvliet, 11","2000 Antwerpen / Anvers","+32 (3) 226.14.70",""
"Silveren Claverblat ('t) ['T SILVEREN CLAVERBLAT]","Grote Pieter Potstraat, 16","2000 Antwerpen / Anvers","+32 (3) 231.33.88",""
"Paros","Korte Nieuwstraat, 8","2000 Antwerpen / Anvers","+32 (3) 226.26.18",""
"Verbist/Myriam [EETCAFFEE 'T INJASKE]","Grote Kauwenberg, 5","2000 Antwerpen / Anvers","+32 (3) 234.06.73",""
"Luyts/Evi [GREEN]","Lange Vlierstraat, 33","2000 Antwerpen / Anvers","+32 (3) 213.28.43",""
"Lago bvba [CREMERIE TROPICAL]","Hoogstraat, 66","2000 Antwerpen / Anvers","+32 (3) 232.16.38",""
"Van Gestel/Wim","Leopold de Waelstraat, 28","2000 Antwerpen / Anvers","+32 (3) 294.65.24",""
"Verlinden/Luc","Stijfselstraat, 10","2000 Antwerpen / Anvers","+32 (3) 658.23.17",""
"Vapiano [VAPIANO GROENPLAATS ANTWERPEN NV]","Groenplaats, 8","2000 Antwerpen / Anvers","+32 (3) 707.06.56",""
"Restaurant Lanterna bvba [LANTERNA]","Kasteelpleinstraat, 54","2000 Antwerpen / Anvers","+32 (3) 248.58.36",""
"Restaurant Sir Anthony Van Dijck bvba","Oude Koornmarkt, 16","2000 Antwerpen / Anvers","+32 (3) 231.61.70",""
"Van Haegendoren/Robrecht [BISTRO GOUDEN REAAL]","Kaasstraat, 1","2000 Antwerpen / Anvers","+32 (3) 293.49.64",""
"Emmelsar [GROSSO MODO]","Jezusstraat, 32","2000 Antwerpen / Anvers","+32 (3) 233.90.52",""
"P & R bvba ['T BRABOKE]","Grote Markt, 18","2000 Antwerpen / Anvers","+32 (3) 226.36.16",""
"Yu/P.","Klapdorp, 70","2000 Antwerpen / Anvers","+32 (3) 231.12.83",""
"De Backer-Lipkens/R. [REST. DE KIP]","Oude Koornmarkt, 39","2000 Antwerpen / Anvers","+32 (3) 226.89.56",""
"baris [LA GONDOLA]","Suikerrui, 30","2000 Antwerpen / Anvers","+32 (3) 232.03.40",""
"Osaka","Bollandusstraat, 17","2000 Antwerpen / Anvers","+32 (3) 233.16.22",""
"Bjenn","Kempischdok-Westkaai, 28","2000 Antwerpen / Anvers","+32 (3) 227.27.94",""
"Certes Antwerpen","Falconplein, 20","2000 Antwerpen / Anvers","+32 (3) 290.00.89","take-a-break@telenet.be"
"De Clercq/Olivier [DE CLERCQ OLIVIER]","Kasteelstraat, 57","2000 Antwerpen / Anvers","+32 (3) 237.77.79","info@particolare.be"
"Vanderhaeghe/Jan [MOREL EN SORBIE]","Suikerrui, 26","2000 Antwerpen / Anvers","",""
"Tokyo","Wijngaardstraat, 3","2000 Antwerpen / Anvers","+32 (3) 232.95.65",""
"Las Tapas Amberes","Verschansingstraat, 7","2000 Antwerpen / Anvers","+32 (3) 294.05.12",""
"Spark [FARINE'S]","Vlaamsekaai, 40","2000 Antwerpen / Anvers","+32 (3) 238.30.48",""
"PRI-MA [BELLA CAPRI]","Oude Koornmarkt, 36","2000 Antwerpen / Anvers","+32 (3) 231.23.43",""
"Zuiderterras nv","Sint-Jansvliet, 236/Y","2000 Antwerpen / Anvers","","info@zuiderterras.be"
"De Gouden Ecu [DE GOUDEN ECU OF ECU]","Sint-Michielsstraat, 11","2000 Antwerpen / Anvers","+32 (3) 232.71.25",""
"Gimagi Gastro","Oudeleeuwenrui, 7","2000 Antwerpen / Anvers","+32 (3) 289.91.06",""
"De Smet/Jan ['T SPREEUWKE]","Oude Koornmarkt, 15","2000 Antwerpen / Anvers","+32 (3) 232.34.78",""
"Hofstraat 24, Namnam","Hofstraat, 24","2000 Antwerpen / Anvers","+32 (3) 225.05.44","hofstraat24@skynet.be"
"Ghimar","Waalsekaai, 10","2000 Antwerpen / Anvers","+32 (3) 248.45.40",""
"Sigona/Mario [PASTA DI PAPA]","Tolstraat, 45/A","2000 Antwerpen / Anvers","+32 (3) 237.50.91",""
"Ultimatum [TAVERNE RESERVE]","Grote Markt, 8","2000 Antwerpen / Anvers","+32 (3) 232.58.53",""
"Raemac bvba [RAE'S]","Jezusstraat, 46","2000 Antwerpen / Anvers","+32 (3) 232.34.33",""
"De Kiosk [DE KLEINE KOUS]","Oude Koornmarkt, 73","2000 Antwerpen / Anvers","+32 (3) 234.04.62",""
"Snoeys/Annie [KO-TEE]","Nationalestraat, 80","2000 Antwerpen / Anvers","+32 (3) 232.36.52",""
"Restaurant Transat","Sint-Pietersvliet, 3","2000 Antwerpen / Anvers","+32 (3) 226.10.03","info@transat.be"
"Poco Pazzo","Oudeleeuwenrui, 12","2000 Antwerpen / Anvers","+32 (3) 232.86.82","pazzo@skynet.be"
"Popoff (Restaurant)","Oude Koornmarkt, 18","2000 Antwerpen / Anvers","+32 (3) 232.00.38",""
"Balke/Edward [IZUMI-JAPANS RESTAURANT]","Beeldhouwersstraat, 44","2000 Antwerpen / Anvers","+32 (3) 216.13.79",""
"Ijskreembaar Le Baron Lumar [IJSKREEMBAL LE BARON]","Sint-Katelijnevest, 74","2000 Antwerpen / Anvers","",""
"Express bar","Italiëlei, 124","2000 Antwerpen / Anvers","+32 (3) 293.70.03",""
"Mak Oi/Chu","Italiëlei, 213","2000 Antwerpen / Anvers","+32 (3) 232.89.50",""
"Grand Café Leroy [GRAND CAFE LEROY]","Kasteelpleinstraat, 49","2000 Antwerpen / Anvers","","grandcafeleroy@skynet.be"
"Casa Manuel bvba","Oudeleeuwenrui, 47","2000 Antwerpen / Anvers","",""
"Biensoigné [BIEN SOIGNE]","Kleine Markt, 9","2000 Antwerpen / Anvers","+32 (3) 293.63.81",""
"Vandenberghe/Reinhilde [LETTERNIJEN]","Italiëlei, 28","2000 Antwerpen / Anvers","+32 (3) 663.32.21",""
"Van Mossevelde W. [GRAND CAFE LEROY]","Kasteelpleinstraat, 49","2000 Antwerpen / Anvers","+32 (3) 233.06.17",""
"Cas A.","Melkmarkt, 29","2000 Antwerpen / Anvers","+32 (3) 232.77.06",""
"Den Bacchus [NUYTS INGE]","Napelsstraat, 128","2000 Antwerpen / Anvers","+32 (3) 770.50.83",""
"Ice Melkmarkt [AUSTRALIAN HOME MADE ICECREAM]","Melkmarkt, 44","2000 Antwerpen / Anvers","+32 (3) 231.17.37",""
"Bistro Gerlach","De Gerlachekaai, 11","2000 Antwerpen / Anvers","+32 (3) 248.19.87","info@gerlache.be"
"Snackske ('t) [JANSSEN CHRISTOFF]","Amerikalei, 83","2000 Antwerpen / Anvers","+32 (3) 237.36.57",""
"Parte A Louis [TARTE A LOUIS]","Amsterdamstraat, 41","2000 Antwerpen / Anvers","+32 (3) 293.59.63",""
"Restaurant Casa Julian","Italiëlei, 32","2000 Antwerpen / Anvers","+32 (3) 232.07.29",""
"Neuze Neuze bvba","Wijngaardstraat, 19","2000 Antwerpen / Anvers","+32 (3) 232.57.83",""
"Restaurant Bernardin","Sint-Jacobsstraat, 17","2000 Antwerpen / Anvers","+32 (3) 213.07.00",""
"Restaurant Fez/Hadnan","Kloosterstraat, 52","2000 Antwerpen / Anvers","+32 (3) 288.63.18",""
"Tiboni M. [MARIO]","Kammenstraat, 71","2000 Antwerpen / Anvers","+32 (3) 226.02.95",""
"Dyck/Tom [LUNCH BOX]","Nieuwstad, 10","2000 Antwerpen / Anvers","+32 (3) 231.04.79",""
"Van Hoorick/Erik [STOMACHUS]","Oudevaartplaats, 62","2000 Antwerpen / Anvers","+32 (3) 232.18.17",""
"Restaurant Ulcke Van Zurich [ULCKE VAN ZURICH]","Oude Beurs, 50","2000 Antwerpen / Anvers","+32 (3) 234.04.94",""
"Gharafi/Soufian [EMERAUDE]","Beddenstraat, 2","2000 Antwerpen / Anvers","+32 (3) 225.35.85",""
"nv Passage [PASSAGE]","Beddenstraat, 2","2000 Antwerpen / Anvers","",""
"Pizza Fast [PIZZERIA]","Kasteelpleinstraat, 11","2000 Antwerpen / Anvers","+32 (3) 294.75.98",""
"Het Fondueke","Oude Koornmarkt, 38","2000 Antwerpen / Anvers","+32 (3) 233.53.82",""
"A La Ville","Zirkstraat, 37","2000 Antwerpen / Anvers","+32 (3) 225.08.82",""
"Gharafi/Soufian [RESTAURANT Z'HOOR]","Verschansingstraat, 28","2000 Antwerpen / Anvers","+32 (3) 238.88.30",""
"Hopland","Hopland, 51","2000 Antwerpen / Anvers","+32 (3) 231.24.31",""
"Bel-Air","Jezusstraat, 20","2000 Antwerpen / Anvers","+32 (3) 226.04.65",""
"Hannekesnest Den","Bordeauxstraat, 7/B","2000 Antwerpen / Anvers","+32 (3) 226.70.23","rveetv@skynet.be"
"Lunch Garden","Meir, 82","2000 Antwerpen / Anvers","+32 (3) 227.48.96",""
"Valencia Restaurant gcv, Restaurant Valencia Antwerpen","Oudeleeuwenrui, 26","2000 Antwerpen / Anvers","+32 (3) 233.00.71",""
"Wappertien bvba [10 VOOR 12-WAPPERTIEN]","Wapper, 10","2000 Antwerpen / Anvers","+32 (3) 227.32.52",""
"Brasserie Appelmans [APPELMANS]","Papenstraatje, 1","2000 Antwerpen / Anvers","+32 (3) 226.20.22","info@brasserieappelmans.be, info@absinthbar.be"
"Desire De Lille","Schrijnwerkersstraat, 16","2000 Antwerpen / Anvers","+32 (3) 233.62.26",""
"Bradvica Dragica","Oude Koornmarkt, 65","2000 Antwerpen / Anvers","+32 (3) 234.24.94",""
"Den Bolhoed bvba","Sudermanstraat, 1","2000 Antwerpen / Anvers","+32 (3) 231.45.35","zaal.jacob@pandora.be"
"Micron [BREAKPOINT]","Hoogstraat, 39","2000 Antwerpen / Anvers","+32 (3) 288.75.54",""
"Flamant [FLAMANT HOME INTERIORS]","Lange Gasthuisstraat, 12","2000 Antwerpen / Anvers","+32 (3) 226.77.60",""
"Mina","Lange Koepoortstraat, 30","2000 Antwerpen / Anvers","+32 (3) 226.67.73",""
"Segers/Antoon [DE KORAAL]","Leeuwenstraat, 1","2000 Antwerpen / Anvers","+32 (3) 234.35.21",""
"Kasa Horeca [HECKER]","Kloosterstraat, 13","2000 Antwerpen / Anvers","+32 (3) 234.38.34",""
"Van der Hoeven R. [ST ANN'S CHAPEL-CARIBBIEAN INN]","Korte Nieuwstraat, 20","2000 Antwerpen / Anvers","+32 (3) 231.03.77",""
"Grootaert/Philippe [P'ZINK]","Veemarkt, 8","2000 Antwerpen / Anvers","+32 (3) 288.80.45",""
"De Kleine Zavel [BURTON BVBA]","Stoofstraat, 2","2000 Antwerpen / Anvers","+32 (3) 231.96.91",""
"De Confiance [RESTAURANT DE CONFIANCE]","Suikerrui, 26","2000 Antwerpen / Anvers","+32 (3) 232.24.34","hendrik.vanderhaeghe@skynet.be"
"Caramba bvba","Kaasrui, 6","2000 Antwerpen / Anvers","+32 (3) 231.46.56",""
"Claes/Victor [DEJAVUE]","Stadswaag, 13","2000 Antwerpen / Anvers","+32 (3) 296.19.98",""
"L'Osteria","Haarstraat, 3","2000 Antwerpen / Anvers","+32 (3) 231.76.96","info@mangiaebevi.be"
"Bistro (The)","Wapper, 1/A","2000 Antwerpen / Anvers","+32 (3) 232.36.75","thebistro@thebistro.be"
"BRIKKE [PATERSVAETJE]","Blauwmoezelstraat, 1","2000 Antwerpen / Anvers","",""
"Tartufo [P.R.T.]","Kasteelstraat, 58","2000 Antwerpen / Anvers","+32 (3) 237.51.23",""
"Marnicx [CITY ZEN]","Marnixplaats, 6","2000 Antwerpen / Anvers","+32 (3) 257.18.10",""
"THAI THAI SIMPLE [THAI-THAI-SIMPLE]","Amerikalei, 2","2000 Antwerpen / Anvers","",""
"Velvet Lounge [RIVER CAFE]","Luikstraat, 6","2000 Antwerpen / Anvers","+32 (3) 237.39.78",""
"Chilli Club [APPELMANS]","Papenstraatje, 1","2000 Antwerpen / Anvers","+32 (3) 226.20.22","info@brasserieappelmans.be, info@absinthbar.be"
"Van Serveyt/Bart","Lange Doornikstraat, 15","2000 Antwerpen / Anvers","+32 (3) 231.28.38",""
"Brion/Simonne [TASTE & FRIENDSHIP]","Rijnkaai, 37","2000 Antwerpen / Anvers","+32 (3) 290.33.58","taste.friendship@gmail.com"
"De Arme Duivel","Armeduivelstraat, 1","2000 Antwerpen / Anvers","+32 (3) 232.26.98",""
"Sombat Restaurant","Vleeshuisstraat, 1","2000 Antwerpen / Anvers","",""
"Het Gebaar","Leopoldstraat, 24","2000 Antwerpen / Anvers","+32 (3) 293.72.32",""
"Steinberger/Gaby","Waalsekaai, 59","2000 Antwerpen / Anvers","+32 (3) 293.30.52",""
"Verberght/Edwin","Paardenmarkt, 113","2000 Antwerpen / Anvers","+32 (3) 213.04.37",""
"Bocken, Bocken Henriette/Henriette [DE GOUDEN ECU OF ECU]","Sint-Michielsstraat, 11","2000 Antwerpen / Anvers","+32 (3) 232.71.25",""
"Tavola Italiano (La)","Zirkstraat, 45","2000 Antwerpen / Anvers","+32 (3) 231.82.93",""
"Hof van Eden (Restaurant) ['T HOF VAN EDEN]","Groenplaats, 11","2000 Antwerpen / Anvers","+32 (3) 232.50.92",""
"La Moule Parquee bvba","Wapenstraat, 18","2000 Antwerpen / Anvers","+32 (3) 237.94.11",""
"Houten Clara","Graanmarkt, 15","2000 Antwerpen / Anvers","+32 (3) 233.14.08",""
"Beyram/Mansour [THALAMUS]","Mechelseplein, 19","2000 Antwerpen / Anvers","+32 (3) 226.96.50",""
"Restaurant Bassin [CHEZ FL'EAU]","Tavernierkaai, 1","2000 Antwerpen / Anvers","+32 (3) 225.36.37",""
"Kelleman [CROISSANTY]","Melkmarkt, 1","2000 Antwerpen / Anvers","+32 (3) 226.36.60",""
"Cajun Queen Europe","Grote Markt, 44","2000 Antwerpen / Anvers","+32 (3) 226.17.88",""
"Garden of India","Oude Koornmarkt, 60","2000 Antwerpen / Anvers","+32 (3) 226.43.42",""
"Tikanis","Maarschalk Gérardstraat, 23","2000 Antwerpen / Anvers","+32 (3) 232.45.40",""
"Pic-a-dent [PIC-A-DENT]","Oudevaartplaats, 10","2000 Antwerpen / Anvers","+32 (3) 485.82.69",""
"Bistrorant 't Hofke ['T HOFKE]","Oude Koornmarkt, 16","2000 Antwerpen / Anvers","+32 (3) 233.86.06",""
"Keravikske ('t) ['T KERAVIKSKE]","Sint-Aldegondiskaai, 60","2000 Antwerpen / Anvers","+32 (3) 232.82.87",""
"Bij Lam en Yin [BIJ LAM & YIN]","Reyndersstraat, 17","2000 Antwerpen / Anvers","+32 (3) 232.88.38",""
"De Reddende Engel","Torfbrug, 3","2000 Antwerpen / Anvers","+32 (3) 233.66.30",""
"Michel Campo","Oudeleeuwenrui, 5","2000 Antwerpen / Anvers","+32 (3) 213.13.27","mcampo@skynet.be"
"Red Horse","Huidevettersstraat, 58","2000 Antwerpen / Anvers","+32 (3) 231.18.52",""
"Via-Via [RESTAURANT IV APOSTEL]","Pelgrimstraat, 7","2000 Antwerpen / Anvers","+32 (3) 226.52.42","viavia@skynet.be"
"Vercruyssen/Filip","Korte Gasthuisstraat, 10","2000 Antwerpen / Anvers","",""
"Trippel 666 [FOOD ROOM XOCOLATE]","Pelgrimstraat, 2","2000 Antwerpen / Anvers","+32 (3) 225.06.66",""
"Sükran [WATERPOORT]","Gillisplaats, 7","2000 Antwerpen / Anvers","+32 (3) 216.10.79",""
"Bleekhof nv","Vekestraat, 34","2000 Antwerpen / Anvers","",""
"Verbruggen/Joris","Museumstraat, 1","2000 Antwerpen / Anvers","+32 (3) 248.49.54",""
"To Kit/Sheung [ZIJDE BOETIEK]","Meirbrug, 2","2000 Antwerpen / Anvers","+32 (3) 213.06.35",""
"De Baritons","Sint-Jansvliet, 23","2000 Antwerpen / Anvers","+32 (3) 231.13.27",""
"On Top België BV [ON TOP BELGIE]","Groenplaats, 30","2000 Antwerpen / Anvers","+32 (3) 226.58.89",""
"Ramos/Joseph","Mutsaardstraat, 15","2000 Antwerpen / Anvers","+32 (3) 289.65.73",""
"Boon","Leopoldplaats, 12","2000 Antwerpen / Anvers","+32 (3) 232.69.90",""
"Ile Perdu (restaurant L') [L'ILE PERDUE]","Amsterdamstraat, 33","2000 Antwerpen / Anvers","+32 (3) 213.17.37","ileperdue@pandora.be"
"van Gastel/Sara [CHINOIS]","Sint-Jorispoort, 17","2000 Antwerpen / Anvers","",""
"'t Braboke - De Groelard/Philip","Grote Markt, 18","2000 Antwerpen / Anvers","",""
"Troubadour","Handschoenmarkt, 15","2000 Antwerpen / Anvers","+32 (3) 227.09.69",""
"Le Petit Zinc bvba [P'ZINK]","Veemarkt, 9","2000 Antwerpen / Anvers","+32 (3) 213.19.08","philippe.grootaert@pandora.be"
"Baggetje ('t) bvba ['T BAGGETJE BVBA]","Kipdorpbrug, 10","2000 Antwerpen / Anvers","+32 (3) 233.35.38",""
"Chez Raoul [BISTROT RAOUL]","Vlasmarkt, 21","2000 Antwerpen / Anvers","+32 (3) 213.09.77",""
"Trefpunt De Vliet [TAVERNE TREFPUNT DE VLIET]","Sint-Jansvliet, 21","2000 Antwerpen / Anvers","+32 (3) 233.14.92",""
"To Wai/Chung [MOON HOUSE]","Klapdorp, 80","2000 Antwerpen / Anvers","+32 (3) 226.02.89",""
"Terra Meiga","Vlaamsekaai, 64","2000 Antwerpen / Anvers","+32 (3) 248.73.71",""
"Bokhorst/J. [RESTAURANT AURELIA]","Wijngaardstraat, 22","2000 Antwerpen / Anvers","+32 (3) 233.62.59",""
"Vast [DAGELINCKX]","Verlatstraat, 22","2000 Antwerpen / Anvers","+32 (3) 238.76.01",""
"Warsteinertaverne [WARSTEINER TAVERN]","Beddenstraat, 2","2000 Antwerpen / Anvers","+32 (3) 233.03.76",""
"Bajan ['T GALJOEN]","Sint-Michielskaai, 36","2000 Antwerpen / Anvers","+32 (3) 237.72.90",""
